c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.02,0.05,0.05,0.01,19.7,2.95,0.01,0.0,0.01,15.0,0.0,0.15,1.55
0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.0
0.0,0.01,0.01,8.67,13.45,0.82,0.01,0.0,0.01,13.9,0.0,0.39,0.57
0.01,0.05,0.05,0.01,17.7,3.95,0.01,0.0,0.01,15.0,0.0,0.13,1.47
0.01,0.05,0.05,0.01,19.4,1.45,0.01,0.0,0.01,14.9,0.0,0.13,1.55
0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.0,0.01,20.1,0.0,0.03,0.0
0.0,0.05,0.05,0.01,18.1,3.6,0.01,0.0,0.01,13.0,0.0,0.11,2.25
0.1,0.57,0.24,12.19,0.01,8.9,0.01,0.02,0.01,15.2,0.0,0.03,0.0
0.01,0.01,1.99,17.5,2.1,0.02,0.01,0.0,0.01,11.8,0.0,0.03,0.05
0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0
0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88
0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62
0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0.0,0.04,0.0
0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9
0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.6,0.0,0.04,0.0
0.2,0.01,0.01,14.13,0.92,1.99,0.01,0.0,0.08,17.0,0.0,0.03,0.0
0.02,0.05,0.05,0.01,17.0,4.07,0.69,0.0,0.01,12.3,0.0,0.16,1.58
0.16,0.01,0.67,14.5,0.01,5.09,0.41,0.02,0.01,13.41,0.0,0.04,0.0
0.01,0.01,0.01,0.01,15.0,6.02,0.01,0.0,0.01,14.8,0.0,0.03,0.62
0.01,0.01,1.93,15.6,4.1,0.02,0.01,0.0,0.01,10.5,0.0,0.03,0.06
0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48
0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78
0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.0,0.03,0.0
0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.0,0.05,0.0
0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.0,0.27,13.94,0.0,0.03,0.0
