c,mn,si,cr,ni,mo,v,n,nb,co,w,al,ti
0.02,0.05,0.05,0.01,19.70,2.95,0.01,0.00,0.01,15.00,0.00,0.15,1.55
0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.00
0.00,0.01,0.01,8.67,13.45,0.82,0.01,0.00,0.01,13.90,0.00,0.39,0.57
0.01,0.05,0.05,0.01,17.70,3.95,0.01,0.00,0.01,15.00,0.00,0.13,1.47
0.01,0.05,0.05,0.01,19.40,1.45,0.01,0.00,0.01,14.90,0.00,0.13,1.55
0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.00,0.01,20.10,0.00,0.03,0.00
0.00,0.05,0.05,0.01,18.10,3.60,0.01,0.00,0.01,13.00,0.00,0.11,2.25
0.10,0.57,0.24,12.19,0.01,8.90,0.01,0.02,0.01,15.20,0.00,0.03,0.00
0.01,0.01,1.99,17.50,2.10,0.02,0.01,0.00,0.01,11.80,0.00,0.03,0.05
0.16,0.01,0.01,14.56,0.01,4.90,0.48,0.05,0.01,15.60,0.00,0.04,0.00
0.01,0.05,0.05,0.01,18.00,3.60,0.01,0.00,0.01,13.00,0.00,0.08,1.88
0.00,0.05,0.05,0.01,18.10,3.50,0.01,0.00,0.01,13.00,0.00,0.10,1.62
0.16,0.01,0.01,13.56,0.01,4.70,0.40,0.04,0.01,16.20,0.00,0.04,0.00
0.00,0.05,0.05,0.01,18.00,3.60,0.50,0.00,0.01,12.00,0.00,0.02,1.90
0.16,0.01,0.01,14.24,0.01,7.15,0.41,0.03,0.01,13.60,0.00,0.04,0.00
0.20,0.01,0.01,14.13,0.92,1.99,0.01,0.00,0.08,17.00,0.00,0.03,0.00
0.02,0.05,0.05,0.01,17.00,4.07,0.69,0.00,0.01,12.30,0.00,0.16,1.58
0.16,0.01,0.67,14.50,0.01,5.09,0.41,0.02,0.01,13.41,0.00,0.04,0.00
0.01,0.01,0.01,0.01,15.00,6.02,0.01,0.00,0.01,14.80,0.00,0.03,0.62
0.01,0.01,1.93,15.60,4.10,0.02,0.01,0.00,0.01,10.50,0.00,0.03,0.06
0.01,0.05,0.05,0.01,17.50,4.15,0.01,0.00,0.01,11.50,0.00,0.62,1.48
0.01,0.05,0.05,0.01,17.20,3.95,0.01,0.00,0.01,12.20,0.00,0.23,1.78
0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.00,0.03,0.00
0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.00,0.05,0.00
0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.00,0.27,13.94,0.00,0.03,0.00
0.20,0.01,0.51,12.51,0.95,1.97,0.01,0.00,0.08,17.06,0.00,0.03,0.00
0.01,0.01,0.01,11.14,8.01,4.99,0.01,0.00,0.01,8.62,0.00,1.22,0.01
0.01,0.01,0.01,0.01,15.10,5.10,0.01,0.00,0.01,15.30,0.00,0.03,0.20
0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.00,0.05,0.00
0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.00,0.05,0.00
0.01,0.05,0.05,0.01,17.50,3.90,0.01,0.00,0.01,11.80,0.00,0.17,1.54
0.21,0.01,0.01,14.60,0.01,5.02,0.41,0.02,0.01,13.48,0.00,0.05,0.00
0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.00,0.05,0.00
0.01,0.01,0.01,10.96,7.97,5.00,0.01,0.00,0.01,8.55,0.00,1.21,0.01
0.21,0.43,0.50,12.53,1.18,2.06,0.01,0.00,0.01,15.95,0.00,0.03,0.00
0.00,0.01,0.01,10.97,7.99,4.98,0.01,0.00,0.01,8.51,0.00,1.19,0.02
0.07,0.57,0.32,11.76,0.01,6.32,0.01,0.05,0.01,15.20,0.00,0.03,0.00
0.20,0.01,0.03,14.09,0.01,1.98,0.01,0.00,0.08,16.62,0.00,0.03,0.00
0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.00,0.08,13.88,0.00,0.03,0.00
